epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
101,17360.2,0.50272,0.20664,0.00086,0.99184,0.95601,0.9835,0.92372,0.44559,0.17495,0.00109,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,17707.4,0.50382,0.21007,0.00084,0.99082,0.96494,0.98404,0.92382,0.44499,0.1746,0.00108,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,18051.3,0.50195,0.20751,0.00085,0.99056,0.95901,0.98376,0.92367,0.44392,0.1756,0.00108,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,18395.8,0.49476,0.20394,0.00081,0.9946,0.96392,0.98369,0.92234,0.44323,0.17476,0.00108,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,18743.6,0.50273,0.20865,0.00084,0.98821,0.95782,0.98191,0.92019,0.4412,0.17447,0.00108,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,19090.1,0.50153,0.20013,0.00082,0.9831,0.96745,0.98203,0.92109,0.43873,0.17312,0.00108,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,19437.1,0.48608,0.19317,0.0008,0.98473,0.96727,0.98264,0.92162,0.43776,0.17175,0.00107,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,19782.5,0.48964,0.19752,0.00082,0.99299,0.96182,0.98215,0.92183,0.43718,0.17138,0.00107,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,20131.4,0.48333,0.19586,0.00079,0.98556,0.96371,0.98217,0.92194,0.43545,0.17176,0.00107,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,20478.6,0.48553,0.19121,0.00079,0.9856,0.9642,0.98212,0.92118,0.43422,0.17106,0.00106,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
